Location,Area_sqft,BHK,Price_Lakhs
"Nav Kairali Apartment, Dwarka Sector 3",1540.0,3,145.0
"LNT Apartments, Dwarka",1050.0,2,105.0
Dwarka Sector 4,1800.0,3,148.0
"Dwarka Sector 3 carpet area 400 sqft status Ready to Move floor 1 out of 4 floors transaction New Property furnishing Semi-Furnished facing West overlooking Main Road bathroom 1 balcony 1 ownership Freehold Newly Constructed Property 1BHK freehold property , reserved parking, ample space for visitor parking, bathrooms with modern facilities, complete light in all room, wooden wardrobes in bedrooms, separate electric & water meter connection, separate water tank at roof, electronic door lock system with intercom facility, wall to wall POP work, fall ceiling work in all rooms, royal paint work in all rooms, 24X7 running water, branded electric fittings, modular kitchen with electronic chimney, marble vitrified tile flooring, near to metro station, well connected to main road ect. 80 to 90 home loan available. Ready to move read more Contact Agent View Phone No. Share Feedback Agent S.B. Associates 4000+ Buyers Served",400.0,1,18.5
Dwarka Sector 16B,1150.0,3,68.0
"Chopra Apartment, Dwarka Sector 23",1525.0,3,142.0
Lajpat Nagar 3,900.0,1,89.0
Lajpat Nagar 3,1450.0,3,375.0
Lajpat Nagar 3,1450.0,3,300.0
Lajpat Nagar 3,1260.0,3,210.0
Lajpat Nagar 3,2925.0,4,575.0
Lajpat Nagar 3,1710.0,3,300.0
Lajpat Nagar 3,1600.0,3,300.0
Lajpat Nagar 3,1500.0,3,315.0
Lajpat Nagar 3,2200.0,3,300.0
Lajpat Nagar 3,1350.0,3,415.0
Lajpat Nagar 3,1710.0,3,248.0
Lajpat Nagar 3,1350.0,3,350.0
Lajpat Nagar 3,1500.0,3,400.0
Lajpat Nagar 3,2880.0,4,460.0
Lajpat Nagar 3,2700.0,4,550.0
Lajpat Nagar 3,1400.0,3,245.0
Lajpat Nagar 3,1800.0,3,245.0
Lajpat Nagar 3,1400.0,3,325.0
Lajpat Nagar 3,1000.0,2,200.0
Lajpat Nagar,8000.0,4,2400.0
Lajpat Nagar 3,1000.0,2,200.0
Lajpat Nagar 3,1700.0,3,190.0
Lajpat Nagar 3,1600.0,3,260.0
Lajpat Nagar 3,1350.0,3,210.0
Lajpat Nagar 3,1700.0,3,275.0
Lajpat Nagar 3,1400.0,3,325.0
Lajpat Nagar 3,1450.0,3,450.0
Lajpat Nagar 3,1350.0,3,210.0
Lajpat Nagar 3,1700.0,3,280.0
Lajpat Nagar 3,1600.0,3,295.0
Lajpat Nagar 2,1500.0,1,135.0
Lajpat Nagar 2,800.0,2,140.0
Lajpat Nagar 2,1710.0,3,260.0
Lajpat Nagar 2,1350.0,2,125.0
Lajpat Nagar 2,1500.0,3,260.0
"Vinoba Puri, Lajpat Nagar",750.0,2,115.0
Lajpat Nagar 2,850.0,2,146.0
Lajpat Nagar 2,1575.0,3,255.0
Lajpat Nagar 2,1675.0,3,310.0
Lajpat Nagar 2,1350.0,3,220.0
Lajpat Nagar 2,900.0,2,134.0
Lajpat Nagar 2,1800.0,3,350.0
Lajpat Nagar 2,900.0,2,110.0
"Vinoba Puri, Lajpat Nagar",900.0,2,63.0
Lajpat Nagar 2,900.0,2,125.0
Lajpat Nagar 2,800.0,2,145.0
Lajpat Nagar 2,1100.0,2,225.0
Lajpat Nagar 2,810.0,2,155.0
Lajpat Nagar 2,1500.0,3,260.0
Lajpat Nagar 2,900.0,2,158.0
Lajpat Nagar 2,825.0,2,150.0
Lajpat Nagar 2,900.0,2,130.0
Lajpat Nagar 2,875.0,2,150.0
Lajpat Nagar 2,1350.0,3,250.0
Lajpat Nagar 2,750.0,2,165.0
Lajpat Nagar 2,900.0,2,103.0
Lajpat Nagar 2,1350.0,3,260.0
Lajpat Nagar 2,900.0,2,110.0
Lajpat Nagar 2,1800.0,3,285.0
Lajpat Nagar 2,900.0,2,110.0
Budh Vihar,900.0,2,110.0
Budh Vihar,810.0,3,45.0
"Budh Vihar super area 50 sqyrd status Ready to Move floor Ground out of 2 floors transaction Resale furnishing Unfurnished facing East car parking 1 Open bathroom 1 balcony 2 ownership Freehold For Sale 2 BHK 50 yrd, 2 side open Ground Floor, First and Second Floor in H Block, Gali No. 04, Near Laxmi Narain Mandir, BudhVihar read more Contact Agent View Phone No. Share Feedback Agent Sahyog Properties 1000+ Buyers Served",450.0,2,36.0
Budh Vihar Phase 1,100.0,3,43.0
Budh Vihar,900.0,3,40.0
Budh Vihar Phase 1,500.0,2,16.5
Budh Vihar,450.0,1,20.0
Budh Vihar,75.0,2,30.0
Budh Vihar Phase 1,270.0,2,14.0
Budh Vihar Phase 1,500.0,2,20.0
Budh Vihar Phase 1,444.0,2,20.0
Budh Vihar,400.0,1,20.0
Budh Vihar,729.0,3,26.0
Budh Vihar Phase 1,4050.0,6,51.0
Budh Vihar Phase 2,2400.0,6,60.0
Budh Vihar,450.0,2,40.0
Budh Vihar Phase 2,405.0,2,62.0
Budh Vihar Phase 1,666.0,1,35.0
"Saptrishi Apartment, Rohini Sector 23",1000.0,2,76.0
Rohini Sector 24,1360.0,4,135.0
Rohini Sector 24,1550.0,4,125.0
Rohini Sector 23,850.0,3,65.0
Rohini Sector 23,2170.0,4,220.0
Rohini Sector 23,720.0,3,60.0
Rohini Sector 23,850.0,3,73.0
Rohini Sector 23,950.0,3,76.0
Rohini Sector 23,2300.0,4,200.0
Rohini Sector 22,1300.0,4,150.0
Rohini Sector 20,1100.0,3,62.0
Rohini Sector 20,1030.0,3,62.0
"Rohini ( 1 km from Shahbad Dairy, Rohini)",350.0,1,23.0
"J R Designers Floors, Rohini Sector 24",750.0,2,50.0
"J R Designers Floors, Rohini Sector 24",720.0,2,47.0
"J R Designers Floors, Rohini Sector 24",800.0,2,55.0
"J R Designers Floors, Rohini Sector 24",350.0,1,20.0
"J R Designers Floors, Rohini Sector 24",980.0,3,73.0
"J R Designers Floors, Rohini Sector 24",1600.0,4,130.0
"J R Designers Floors, Rohini Sector 24",1450.0,3,115.0
"J R Designers Floors, Rohini Sector 24",445.0,2,28.0
"J R Designers Floors, Rohini Sector 24",380.0,1,22.0
"J R Designers Floors, Rohini Sector 24",680.0,2,44.0
"J R Designers Floors, Rohini Sector 24",1600.0,3,135.0
"J R Designers Floors, Rohini Sector 24",630.0,2,41.0
"J R Designers Floors, Rohini Sector 24",1500.0,3,120.0
"J R Designers Floors, Rohini Sector 24",550.0,2,35.0
"J R Designers Floors, Rohini Sector 24",2500.0,4,150.0
"J R Designers Floors, Rohini Sector 24",2800.0,5,175.0
"J R Designers Floors, Rohini Sector 24",300.0,1,19.0
"J R Designers Floors, Rohini Sector 24",800.0,3,55.0
"J R Designers Floors, Rohini Sector 24",1295.0,3,100.0
"J R Designers Floors, Rohini Sector 24",700.0,3,47.0
"J R Designers Floors, Rohini Sector 24",350.0,1,24.0
"J R Designers Floors, Rohini Sector 24",450.0,2,38.0
"J R Designers Floors, Rohini Sector 24",2200.0,4,230.0
"J R Designers Floors, Rohini Sector 24",2300.0,4,245.0
"J R Designers Floors, Rohini Sector 24",1150.0,3,100.0
"J R Designers Floors, Rohini Sector 24",800.0,3,55.0
"J R Designers Floors, Rohini Sector 24",850.0,3,70.0
"J R Designers Floors, Rohini Sector 24",720.0,3,65.0
"The Leela Sky Villas, Patel Nagar",4688.0,5,1350.0
"J R Designers Floors, Rohini Sector 24",750.0,2,50.0
"The Leela Sky Villas, Patel Nagar",3901.0,4,930.0
"Uttam Nagar Floors, Uttam Nagar",950.0,3,43.7
"Virat Residency, Dwarka Mor",1000.0,3,46.2
"Siddhartha Heights, Dwarka Sector 24",850.0,2,19.0
"Find Homes, Greater Kailash 2",2400.0,4,700.0
"MTNL Employees House Welfare Society, Dwarka Sector 24",1350.0,3,51.3
"Adarsh Homes, Dwarka Mor",540.0,2,30.0
"Delhi Homes Yojana, Dwarka Sector 24",1387.0,4,58.9
"Kushwaha Homes, Uttam Nagar",540.0,2,33.0
"Godrej South Estate, Okhla",976.0,2,249.0
"The Elite Spire, Dwarka Sector 21",1050.0,3,37.0
"APL Builder Floor, Greater Kailash 1",2700.0,4,600.0
"Kunj Vihar Apartment, Dwarka Sector 12",1500.0,3,174.0
Janakpuri Block A3,2900.0,5,510.0
Greater Kailash 2,5025.0,5,1700.0
"Partap Homes, Bhagwati Vihar, Uttam Nagar",1000.0,3,55.1
"The Amaryllis, Karol Bagh",1135.0,3,250.0
"The Leela Sky Villas, Patel Nagar",2306.0,3,570.0
"Diamond Heights Multi Estate, Najafgarh",850.0,2,29.4
"Ashirwad Apartments, Dwarka Sector 12",1200.0,3,155.0
