Location,Area_sqft,BHK,Price_Lakhs
"The Leela Sky Villas, Patel Nagar",1900.0,3,553.0
"Patel Nagar East, Patel Nagar",1530.0,3,265.0
"Patel Nagar East, Patel Nagar",100.0,3,160.0
Patel Nagar West,900.0,3,104.0
Patel Nagar West,270.0,1,17.0
Patel Nagar West,950.0,2,80.0
"Patel Nagar East, Patel Nagar",1800.0,3,270.0
Patel Nagar West,1500.0,3,195.0
"Patel Nagar East, Patel Nagar",1800.0,3,500.0
Patel Nagar West,1800.0,3,211.0
"The Leela Sky Villas, Patel Nagar",2306.0,3,570.0
Patel Nagar West,850.0,2,59.0
"Punjabi Basti, Patel Nagar",140.0,3,120.0
Patel Nagar West,900.0,3,120.0
Patel Nagar West,1800.0,3,240.0
"Patel Nagar East, Patel Nagar",200.0,1,70.0
"Patel Nagar East, Patel Nagar",1782.0,3,150.0
"Baljit Nagar, Patel Nagar",900.0,2,15.0
Patel Nagar West,405.0,2,39.5
Patel Nagar West,1500.0,3,125.0
"Baljit Nagar, Patel Nagar",66.0,3,16.0
"DDA Flats Vasant Kunj, Vasant Kunj Sector B",2000.0,4,365.0
"DDA Flats Vasant Kunj, Vasant Kunj carpet area 1200 sqft status Ready to Move floor 5 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - West overlooking Garden/Park, Main Road society DDA Flats Vasant Kunj car parking 1 Covered, 1 Open bathroom 2 balcony 2 ownership Freehold A southEAST facing 3 bhk resale flat is available in the promising locality of sectorE vasant kunj vasant kunj, delhi south. It is a ready to move in spacious flat and is located on the 5th floor. Every single detail of the flat is carefully designed. This property offers quality specifications such as lifts, park, water storage and securityfire alar. It is a gated society flat. It provides a spectacular view of the main road and parkgarden. The apartment is priced at rs. 2 cr. It is a freehold property, with a super builtUp area of 1600 sq. Ft. The property price is negotiable. read more Contact Agent Enquire Now Share Feedback Crisil Silver Agent Link Properties Pvt. Ltd. 5000+ Buyers Served",1200.0,3,200.0
Vasant Kunj,1100.0,2,150.0
Vasant Kunj,1400.0,3,250.0
"DDA Flats Vasant Kunj, Vasant Kunj",1600.0,3,185.0
"DDA Flats Pocket 1, Vasant Kunj Sector B",1600.0,4,235.0
Vasant Kunj,600.0,1,80.0
"Saraswati Narmada Ganga Yamuna Apartment, Vasant Kunj Sector D",1600.0,3,230.0
"DDA Flats Vasant Kunj, Vasant Kunj",2000.0,3,310.0
"DDA Flats Sector E Pocket 1, Vasant Kunj",650.0,1,74.0
Vasant Kunj,1100.0,2,155.0
"DDA Flats Sector E Pocket 1, Vasant Kunj",1075.0,2,120.0
"DDA Flats Vasant Kunj, Vasant Kunj Sector D",1450.0,3,235.0
Vasant Kunj Sector A,1200.0,3,250.0
"E2 Vasant Kunj, Vasant Kunj",600.0,1,70.0
"DDA Flats Vasant Kunj, Vasant Kunj",1000.0,2,175.0
"Ganga Apartment Sector D Pocket 6, Vasant Kunj",1600.0,3,250.0
Vasant Kunj Sector C,1750.0,4,290.0
"DDA Flats Sector E Pocket 1, Vasant Kunj",1300.0,3,219.0
Vasant Kunj Sector D,550.0,1,75.0
"DDA Flats Vasant Kunj, Vasant Kunj Sector C",2200.0,4,235.0
Vasant Kunj Sector C,1100.0,2,240.0
Vasant Kunj,1700.0,3,310.0
Vasant Kunj,1100.0,2,165.0
"Kishangarh, Vasant Kunj",1000.0,2,50.0
"DDA Pocket 1, Vasant Kunj Sector D",1350.0,3,240.0
"Ganga Apartment Sector D Pocket 6, Vasant Kunj",1184.0,2,170.0
Vasant Kunj Sector B,2000.0,4,400.0
Vasant Kunj,3500.0,4,225.0
Vasant Kunj,900.0,3,200.0
"The Leela Sky Villas, Patel Nagar",4688.0,5,1350.0
"J R Designers Floors, Rohini Sector 24",750.0,2,50.0
"The Leela Sky Villas, Patel Nagar",3901.0,4,930.0
"Uttam Nagar Floors, Uttam Nagar",950.0,3,43.7
"Virat Residency, Dwarka Mor",1000.0,3,46.2
"Siddhartha Heights, Dwarka Sector 24",850.0,2,19.0
"Find Homes, Greater Kailash 2",2400.0,4,700.0
"MTNL Employees House Welfare Society, Dwarka Sector 24",1350.0,3,51.3
"Adarsh Homes, Dwarka Mor",540.0,2,30.0
"Delhi Homes Yojana, Dwarka Sector 24",1387.0,4,58.9
"Kushwaha Homes, Uttam Nagar",540.0,2,33.0
"Godrej South Estate, Okhla",976.0,2,249.0
"The Elite Spire, Dwarka Sector 21",1050.0,3,37.0
"APL Builder Floor, Greater Kailash 1",2700.0,4,600.0
"Kunj Vihar Apartment, Dwarka Sector 12",1500.0,3,174.0
Janakpuri Block A3,2900.0,5,510.0
Greater Kailash 2,5025.0,5,1700.0
"Partap Homes, Bhagwati Vihar, Uttam Nagar",1000.0,3,55.1
"The Amaryllis, Karol Bagh",1135.0,3,250.0
"The Leela Sky Villas, Patel Nagar",2306.0,3,570.0
"Diamond Heights Multi Estate, Najafgarh",850.0,2,29.4
"Ashirwad Apartments, Dwarka Sector 12",1200.0,3,155.0
"Sunny Valley Apartments, Dwarka",1700.0,3,172.0
"Vasant Vihar Builder Floor, Vasant Vihar",1800.0,4,550.0
Vasant Kunj,1100.0,2,150.0
Greater Kailash 1,22050.0,4,510.0
Rohini Sector 24,1550.0,4,130.0
Greater Kailash 1,1600.0,3,300.0
"Khanpur, Madangir",700.0,2,24.0
"Batla House, Okhla",45.0,4,55.0
"Gandhi Nagar, Shahdara",450.0,2,29.0
"Gandhi Nagar, Shahdara",540.0,5,170.0
"Gandhi Nagar, Shahdara",1350.0,3,250.0
"Gandhi Nagar, Shahdara",2250.0,3,100.0
"DDA Flats Mansarovar Park, Seelampur, Shahdara",1250.0,2,75.0
"Seelampur, Shahdara",504.0,3,36.0
"Shanti Mohalla, Shahdara",65.0,3,350.0
"Seelampur, Shahdara",450.0,2,60.0
"Rajgarh Colony, Shahdara",1800.0,4,175.0
"Kanti Nagar East, Shahdara",1800.0,4,350.0
"Raghubarpura, Shahdara",1530.0,5,102.0
Vasant Kunj Sector C,1750.0,4,290.0
"Sukhdev Vihar, Okhla",2210.0,4,410.0
Geeta Colony,760.0,3,60.0
Krishna Nagar Block A,400.0,2,25.0
Geeta Colony,380.0,1,22.0
"Taj Enclave, Khairatabad",904.1676,2,215.0
"Shastri Park, Shahdara",900.0,4,150.0
Geeta Colony,810.0,5,289.0
Geeta Colony,100.0,3,55.0
"Shastri Park, Shahdara",50.0,2,19.5
Geeta Colony,58.0,2,38.0
"Sitaram Bazar, Chandni Chowk",900.0,2,62.0
Shahdara,1650.0,4,140.0
Laxmi Nagar,1000.0,2,75.0
Shahdara How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 852 sqft status Ready to Move transaction Resale ownership Freehold bathroom 2 Contact Now Enquire Now Auction By,852.0,2,26.7
Shahdara,700.0,2,25.0
Laxmi Nagar,990.0,3,40.0
Laxmi Nagar,450.0,2,35.0
Laxmi Nagar,1000.0,2,50.0
Saket,1700.0,4,295.0
"Anupam Enclave, Saket",1350.0,3,190.0
Saket,2100.0,4,255.0
Saket,2600.0,4,750.0
Saket,3000.0,4,750.0
"RWA Flats, Saket",1450.0,3,340.0
Saket,2050.0,4,475.0
"Metrotech Builder Floors, Saket",3000.0,4,750.0
"Saket Court Residential Complex, Saket",1800.0,3,230.0
"Press Enclave Society, Saket",900.0,3,240.0
"RWA Flats, Saket",1500.0,3,215.0
Saket,1500.0,3,285.0
"Project Paryavaran Complex, Saket",1800.0,4,125.0
Saket,1674.0,3,450.0
Saket,2025.0,4,305.0
Saket,1300.0,3,225.0
"Press Enclave Society, Saket",990.0,3,280.0
Saket,2100.0,3,250.0
Saket,2250.0,4,337.0
Saket,1500.0,3,270.0
Saket,2700.0,4,435.0
"RWA Flats, Saket",1700.0,3,290.0
Saket,1700.0,3,300.0
Saket,2050.0,4,521.0
Saket,1800.0,3,325.0
Saket,1500.0,3,205.0
Saket,2000.0,4,250.0
Saket,1500.0,3,300.0
Saket,24300.0,4,510.0
Saket,2475.0,4,310.0
Safdarjung Enclave,1800.0,3,375.0
"Arjun Nagar, Safdarjung Enclave",1300.0,3,325.0
Safdarjung Enclave,1500.0,3,375.0
Safdarjung Enclave,2100.0,4,550.0
Safdarjung Enclave,1800.0,4,875.0
Safdarjung Enclave,1100.0,2,163.0
Safdarjung Enclave,2035.0,4,650.0
"Safdarjung Enclave carpet area 1100 sqft status Ready to Move floor Ground out of 4 floors transaction Resale furnishing Unfurnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 3 ownership Freehold if you are searching for your dream house, congratulation. you're not so far from your destiny. we got unbeatable ground floor in b-block safdarjung enclave for sale. it is in 150 yds. It has 3 large king sized bedroom attached bathroom with Jacuzzi and roof top shower with all other fittings. it has modular kitchen with all needed facility. it has 3 big balcony with amazing out side view. it has 1 servant quarter also. it has 1 reserved car parking with gated society. It has 24*7 water supply with full power backup. for more information contact us at once because it can be your dream house. read more Contact Agent View Phone No. Share Feedback Crisil Silver Agent Sagar Home Developers Pvt. Ltd. 1000+ Buyers Served",1100.0,3,250.0
Safdarjung Enclave,1550.0,3,380.0
Safdarjung Enclave,700.0,2,150.0
"Arjun Nagar, Safdarjung Enclave",150.0,2,20.0
"Arjun Nagar, Safdarjung Enclave",540.0,1,30.0
Krishna Nagar-Safdarjung Enclave,810.0,2,85.0
"Safdarjung Enclave carpet area 3250 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered bathroom 4 balcony 3 ownership Freehold Near Buy Green park Metro station. The location of the property is Awesome and Peaceful. The construction is very Highend and Very tasteful Done-up. The Same property is location on the FF. 4 Side corner read more Contact Agent Enquire Now Share Feedback Crisil Silver Agent Findahouse Real Estate Consultants LLP 2000+ Buyers Served",3250.0,4,550.0
Safdarjung Enclave,1600.0,3,225.0
Safdarjung Enclave,4000.0,4,725.0
Safdarjung Enclave,5500.0,6,1600.0
Krishna Nagar-Safdarjung Enclave,900.0,3,125.0
Safdarjung Enclave,972.0,2,170.0
Safdarjung Enclave,4150.0,4,825.0
Safdarjung Enclave,2250.0,4,550.0
Safdarjung Enclave,1650.0,3,350.0
Safdarjung Enclave carpet area 290 sqyrd status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Semi-Furnished facing West overlooking Main Road car parking 2 Open bathroom 4 balcony 3 ownership Freehold Opposite Deer Park.The property comes with independent Terrace. The area is centrally located and close to ring road which allows easy acess to all other areas.Renowned Delhi Lawn Tennis Association is within 10 minutes walking distance.Green park market is walkable distance. read more Contact Owner View Phone No. Share Feedback Owner Hemant pajankar,2610.0,4,425.0
"Arjun Nagar, Safdarjung Enclave",600.0,2,47.0
Safdarjung Enclave,1700.0,4,525.0
Safdarjung Enclave,2250.0,4,800.0
"Arjun Nagar, Safdarjung Enclave",880.0,3,110.0
Safdarjung Enclave,4200.0,4,740.0
"Safdarjung Enclave carpet area 1450 sqft status Ready to Move floor 3 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road car parking 1 Covered, 1 Open bathroom 3 balcony 2 ownership Freehold Park facing builder floor apartment available for sale in safderjung enclave, 3 bedroom with attached bathroom, drawing dinning, modular kitchen. the property is on the top floor of a four storey building with terrace right, servant quarter, 1 car parking in stilt. read more Contact Agent View Phone No. Share Feedback Agent Delhi Homes Realty 1000+ Buyers Served",1450.0,3,375.0
"Safdarjung Enclave super area 2200 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing South overlooking Main Road car parking 3 Covered, 2 Open bathroom 4 balcony 3 ownership Freehold Newly Constructed Property Wide Road 450 Yards 2nd floor brand new 4 bhk attached bathrooms with full lighted and ventilated house.Most Valuable DealSEE TO BELIEVE read more Contact Agent View Phone No. Share Feedback Crisil Bronze Agent Panchsheel Homes 500+ Buyers Served",2200.0,4,525.0
"Reserve Bank Enclave, Paschim Vihar",1620.0,3,260.0
Paschim Vihar,1078.0,3,155.0
"Pushkar Enclave, Paschim Vihar",1710.0,3,220.0
Paschim Vihar Block B2,1150.0,3,210.0
"Paschimpuri, Paschim Vihar",450.0,2,50.0
Paschim Vihar,1818.0,3,220.0
Paschim Vihar Block B4,1800.0,3,265.0
Paschim Vihar How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. carpet area 780 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Unfurnished facing West bathroom 2 balcony 1 ownership Freehold Contact Now Enquire Now Auction By Bank,780.0,2,87.7
"DDA Lig Flats, Paschim Vihar carpet area 45 sqyrd status Ready to Move floor 4 out of 4 floors transaction Resale furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road society DDA Lig Flats bathroom 1 balcony 1 ownership Freehold East Facing Property Expected price for the Flat is kept at 45 Lac. This is a 1 bedroom apartment present in DDA Lig Flats, Paschim Vihar. It measures an area of 45 Sq-m. It is on 4 floor out of 4 floors in the tower and is also well ventilated. The Flat has 1 washroom and also has 1 spacious balcony. read more Contact Owner View Phone No. Share Feedback Owner Anil",405.0,1,45.0
Paschim Vihar,900.0,2,85.0
"Archana Apartment, Paschim Vihar",807.2925,2,86.0
"Guru Harikishan Nagar, Paschim Vihar",2700.0,4,425.0
Paschim Vihar,1100.0,3,131.0
"Paschimpuri, Paschim Vihar",585.0,2,70.0
"Mianwali Nagar, Paschim Vihar",2152.78,3,300.0
"Navbharat Apartment, Paschim Vihar Block B1",960.0,2,130.0
Paschim Vihar Block A2,1800.0,4,231.0
Paschim Vihar,1100.0,3,160.0
Paschim Vihar,900.0,2,125.0
"LIC Colony, Paschim Vihar",1620.0,3,245.0
"Paschimpuri, Paschim Vihar",378.0,1,32.0
"DDA Lig Flats, Paschim Vihar",800.0,3,63.0
"Pushkar Enclave, Paschim Vihar",1350.0,3,150.0
"Paschim Vihar carpet area 850 sqft status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Unfurnished facing North overlooking Garden/Park bathroom 3 balcony 1 ownership Freehold If you want to live a contended, pollution-free and peaceful life with your family and children, here is the once in a lifetime opportunity awaiting your attention!! Presenting a 3BHK ready to move flat up for sale in Paschim Vihar, which is becoming a dream residential area for its ability to provide a slice of authentic New Delhi city life. Property SpecificationsWell-knitted and planned on the super area of 900 sq ft is this 2bhk flat where the owner enjoys the complete rights of the freehold ownership. In a low-rise building of four-floors, this impressive infrastructure is positioned on the second floor, hence the residents can experience the greatest possible cross ventilation and natural sunlight.Though the age of construction is between 15-20 years, this north-facing flat is perfectly maintained and features 3 spacious bedrooms, 2 bathrooms, 2 airy balconies, a dining room, a living room, and a kitchen. All the bedrooms are adorned with decorative wardrobes offered with enough space for storage of clothes and other valuables.The attached toilet is designed in Indian fashion which is mounted-up with a geyser where you can enjoy a hot water bath, while the bathroom available for common use fashioned in the western genre.Further, an eye-catching view of the lush green garden is visible from the two well-aligned balconies where you can enjoy a hot cup of tea, where one balcony is connected to the bedroom, while the other balcony opens to the lobby. Bedecked with a granite countertop, a piped gas connection, and a chimney, the contemporarily designed modular kitchen is also provided with a wash area and also sufficient space for fridge.The entire flat is polished up with the good quality tiles which are easy to install and can be quite pleasant and comfortable underfoot.FacilitiesKeeping in mind the convenience of the residents, some of the basic facilities such as an unrestricted supply of water, and power backup with invertor. Additionally, one open parking space for 1 vehicle read more Contact Owner Share Feedback Owner Yogeet",850.0,3,57.0
"Shubh Niketan, Paschim Vihar",1580.0,3,210.0
Paschim Vihar,820.0,2,75.0
"Ashoka Apartment, Paschim Vihar Block A2",594.0,2,65.0
Paschim Vihar Block B4,14220.0,3,275.0
"Guru Harikishan Nagar, Paschim Vihar",800.0,3,120.0
"Sunder Apartments, Sunder Vihar, Paschim Vihar",1500.0,3,180.0
"Ashirwad Apartments, Dwarka",1600.0,3,156.0
"Rajasthan Apartment, Aashirwaad Chowk, Dwarka",1650.0,3,155.0
"Rajasthan Apartment, Aashirwaad Chowk, Dwarka",1600.0,3,152.0
"Gold Croft Apartment, Aashirwaad Chowk, Dwarka",1900.0,3,250.0
"Chanakya Apartments, Aashirwaad Chowk, Dwarka",1400.0,3,150.0
"Bank Apartments, Aashirwaad Chowk, Dwarka carpet area 1550 sqft status Ready to Move floor 7 out of 7 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Garden/Park, Main Road society Bank Apartments car parking 1 Covered, 1 Open bathroom 2 balcony 3 ownership Freehold A spacious 3 Bedroom flat is available for sale in Dwarka , New Delhi.it is cornor building plenty of sunlight and airy. It is located on the 2 Floor. It has a covered area of 1500 Sq-ft. The flat has vitrified tiles & Mosiac flooring. The flat has 24 Hours Available water supply and No/Rare Powercut.. The property is fantastically located and is much sought-after. The property is available at a very competitive Price. read more Contact Agent View Phone No. Share Feedback Sikka Realtors Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users CRISIL Rating No of employees 12 Sikka Realtors Certified Agent Locality Superstar Aashirwaad Chowk, Dwarka 2500+ Buyers Served",1550.0,3,158.0
"Mohinder Apartments, Aashirwaad Chowk, Dwarka",2000.0,4,315.0
"Bank Apartments, Aashirwaad Chowk, Dwarka",1500.0,3,140.0
"Aashirwaad Chowk, Dwarka",1550.0,3,132.0
"Bank Apartments, Aashirwaad Chowk, Dwarka",1600.0,3,158.0
"Saheta Apartment, Aashirwaad Chowk, Dwarka",1600.0,3,162.0
"Pushpanjali Apartments, Aashirwaad Chowk, Dwarka",1800.0,3,155.0
"Aashirwaad Chowk, Dwarka",1470.0,3,145.0
"Aashirwaad Chowk, Dwarka",1500.0,3,149.0
"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",1750.0,3,172.0
"Hum Sub Apartment, Aashirwaad Chowk, Dwarka",1650.0,3,180.0
"Aashirwaad Chowk, Dwarka",1850.0,3,155.0
"Bank Apartments, Aashirwaad Chowk, Dwarka",1480.0,3,158.0
"Defence Officers Apartment, Aashirwaad Chowk, Dwarka",1214.0,2,126.0
"Aashirwaad Chowk, Dwarka",1380.0,3,150.0
"Sanchar Vihar Apartment, Aashirwaad Chowk, Dwarka",1600.0,4,195.0
"Sarve Satyam Apartment, Aashirwaad Chowk, Dwarka",1585.0,3,166.0
"Aashirwaad Chowk, Dwarka",1700.0,3,172.0
"Palm Green Apartment, Aashirwaad Chowk, Dwarka",1200.0,2,130.0
"Neelachal, Aashirwaad Chowk, Dwarka",1800.0,4,165.0
"Kailash Apartments, Aashirwaad Chowk, Dwarka",1000.0,2,107.0
"New Jyoti Apartments, Aashirwaad Chowk, Dwarka",1500.0,3,162.0
"Green Heavens Apartment, Aashirwaad Chowk, Dwarka",1700.0,3,165.0
"PNB Employees Apartment, Aashirwaad Chowk, Dwarka",1750.0,3,149.0
"Sadbhawna CGHS, Aashirwaad Chowk, Dwarka",2700.0,4,275.0
Commonwealth Games Village 2010,3050.0,5,625.0
"Common Wealth Games Village, Commonwealth Games Village 2010",3405.0,5,700.0
Commonwealth Games Village 2010,1500.0,3,355.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2105.0,3,421.0
"Project Commonwealth Games Village 2010, Akshardham Temple",2500.0,4,425.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2090.0,3,440.0
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",2525.0,4,432.0
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",2500.0,4,525.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2100.0,3,343.0
"Project Commonwealth Games Village 2010, Akshardham Temple",2022.0,3,380.0
Commonwealth Games Village 2010,2650.0,4,525.0
"Common Wealth Games Village, Commonwealth Games Village 2010",1850.0,3,375.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2100.0,3,370.0
Commonwealth Games Village 2010,1700.0,3,400.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2105.0,3,362.0
"Common Wealth Games Village, Commonwealth Games Village 2010",1250.0,2,290.0
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",2552.0,4,425.0
Commonwealth Games Village 2010,3112.0,5,600.0
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",2125.0,3,365.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2065.0,3,425.0
"Common Wealth Games Village, Commonwealth Games Village 2010",3405.0,5,715.0
"Common Wealth Games Village, Commonwealth Games Village 2010",3050.0,5,650.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2300.0,5,580.0
Commonwealth Games Village 2010,1455.0,2,275.0
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",3400.0,5,700.0
"Common Wealth Games Village, Commonwealth Games Village 2010",3100.0,5,650.0
"Common Wealth Games Village, Commonwealth Games Village 2010",1400.0,2,286.0
"Common Wealth Games Village, Commonwealth Games Village 2010",2126.0,3,390.0
Commonwealth Games Village 2010,1815.0,3,325.0
"Project Commonwealth Games Village 2010, Commonwealth Games Village 2010",1700.0,3,340.0
Alaknanda,700.0,2,165.0
"Shivalik Apartments, Alaknanda",980.0,2,138.0
"Narmada Apartment, Alaknanda",1350.0,3,210.0
"Gangotri Enclave, Alaknanda",1800.0,3,225.0
"Aravali Apartments, Alaknanda",968.751,2,150.0
"Narmada Apartment, Alaknanda",1250.0,3,200.0
"Aravali Apartments, Alaknanda",1800.0,3,200.0
"Shivalik Apartments, Alaknanda",1400.0,3,260.0
"Narmada Apartment, Alaknanda",1000.0,3,195.0
"Tara Apartment, Alaknanda",1800.0,4,215.0
Alaknanda,1500.0,3,265.0
"Narmada Apartment, Alaknanda",1600.0,3,200.0
"Narmada Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor Ground out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park, Main Road society Narmada Apartment car parking 1 Open bathroom 3 balcony 1 ownership Freehold Near Alaknanda Main Market & Greater Kailash Metro Station. A very good 3 bhk flat for sale in rwa Narmada Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1400.0,3,180.0
Alaknanda,1400.0,3,190.0
Greater Kailash 4 Nri Colony,2700.0,4,365.0
Alaknanda,1100.0,2,150.0
Alaknanda,1200.0,2,175.0
Alaknanda,1400.0,2,140.0
"Project Gangotri Enclave, Alaknanda",1500.0,3,210.0
Alaknanda,1320.0,3,156.0
"Project Gangotri Enclave, Gangotri Enclave, Alaknanda",1300.0,3,190.0
"Narmada Apartment, Alaknanda",1150.0,2,165.0
Alaknanda,1440.0,3,190.0
"Nilgiri Apartment, Alaknanda",1400.0,2,165.0
Alaknanda,450.0,1,30.0
"Yamuna Apartment, Alaknanda",1300.0,2,150.0
"Nilgiri Apartment, Alaknanda",1200.0,2,143.0
"Nilgiri Apartment, Alaknanda",1300.0,3,185.0
"Tara Apartment, Alaknanda carpet area 1400 sqft status Ready to Move floor 2 out of 3 floors transaction Resale furnishing Furnished facing North - East overlooking Garden/Park society Tara Apartment car parking 1 Covered, 1 Open bathroom 3 balcony 4 ownership Freehold Near Alaknanda Main Market, Jamia Humderd University & Batra hospital. A very good 3 bhk flat for sale in rwa Tara Apartment, delhi south. It is a superb property and offers an excellent view. The flat is unfurnished. It promises a comfortable stay. It is feng shuivaastu compliant, which is considered to bring positive energy. The appeal of the flat has been increased with the availability of a pipedGa. Indeed, the society too has multiple facilities for enjoyment, such as club housecommunity center and fitness centregym etc. It also has rain water harvesting system. It has a super builtUp area of 180 sq. Yards. Other f read more Contact Agent View Phone No. Share Feedback Agent Sulabh Estate",1400.0,3,190.0
Alaknanda,1400.0,3,190.0
"Sarita Vihar, Mathura Road carpet area 1500 sqft status Ready to Move floor 2 out of 4 floors transaction Resale ownership Freehold overlooking Main Road car parking 1 Open bathroom 2 balcony 2 furnishing Unfurnished For sale second third duplex .spacious 3 bedrooms with 2 washrooms drawing and dining and moduler kitchen one scooter garrage. read more Contact Agent View Phone No. Share Feedback Shree Balaji Real Estate Pvt. Ltd. Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 21 Property Options in Sarita Vihar, Mathura Road Shree Balaji Real Estate Pvt. Ltd. Certified Agent Locality Superstar Maximum options in Sarita Vihar, Mathura Road",1500.0,3,135.0
"DDA Flats, Sarita Vihar, Mathura Road carpet area 1600 sqft status Ready to Move floor 1 out of 4 floors transaction Resale furnishing Semi-Furnished facing North - East overlooking Main Road society DDA Flats car parking 2 Open bathroom 2 balcony 2 ownership Freehold For sale First second third duplex in sarita vihar DDA Flates . this house free hold property clear titel . this flate well maintained and spacious peacefull location . no issue light water and parking read more Contact Agent View Phone No. Share Feedback Shree Balaji Real Estate Pvt. Ltd. Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 21 Property Options in Sarita Vihar, Mathura Road Shree Balaji Real Estate Pvt. Ltd. Certified Agent Locality Superstar Maximum options in Sarita Vihar, Mathura Road",1600.0,4,158.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1200.0,10,170.0
"DDA Flats, Sarita Vihar, Mathura Road carpet area 1600 sqft status Ready to Move floor Ground out of 4 floors transaction Resale furnishing Semi-Furnished facing North - West overlooking Main Road society DDA Flats car parking 1 Open bathroom 2 balcony 2 ownership Freehold For slae Ground First Duplex in sarita vihar .posh locality in south delhi DDa coloney . This house spacious 4 bedrooms with 2 washrooms drawing and dinning . free hold proerty clear titel . near by all amnites . well develop location . read more Contact Agent View Phone No. Share Feedback Shree Balaji Real Estate Pvt. Ltd. Has Maximum Property Options Is the Top Agent of the Locality Is Trusted by All Users 21 Property Options in Sarita Vihar, Mathura Road Shree Balaji Real Estate Pvt. Ltd. Certified Agent Locality Superstar Maximum options in Sarita Vihar, Mathura Road",1600.0,4,155.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1250.0,3,160.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",950.0,2,129.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1200.0,3,135.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1400.0,4,178.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",950.0,2,132.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1350.0,3,140.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1550.0,4,175.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1300.0,3,170.0
"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",1000.0,2,130.0
"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",1500.0,3,170.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",950.0,2,127.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1200.0,3,135.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1400.0,4,174.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1500.0,4,178.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1050.0,2,127.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1550.0,4,162.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",950.0,2,111.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1150.0,2,136.0
"DDA Flats Sarita Vihar, Sarita Vihar Pocket K",1150.0,2,131.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1150.0,2,125.0
"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",1500.0,3,136.0
"Sidharth Enclave, Kilokri, Ring Road",1800.0,4,120.0
